"A","品名","文件数","广东文件","其他文件数","卷数","广东确定"
"汪梅-初审","0003 醋艾炭","6","醋艾炭-广东确定.pdf","5","1","True"
"汪梅-初审","0005 白英","2","白英-广东确定.pdf","1","1","True"
"汪梅-初审","0010 制白附子","5","制白附子-广东确定.pdf","4","1","True"
"汪梅-初审","0011 白果仁","3","白果仁-广东确定.pdf","2","1","True"
"汪梅-初审","0013 白花蛇舌草","2","白花蛇舌草-广东确定.pdf","1","1","True"
"汪梅-初审","0015 败酱草（黄花败酱）","9","败酱草（黄花败酱）-广东确定.pdf","8","1","True"
"汪梅-初审","0026 柏子仁","6","柏子仁-广东确定.pdf","5","1","True"
"汪梅-初审","0037 醋鳖甲","6","醋鳖甲-广东确定.pdf","5","1","True"
"汪梅-初审","0042 蚕沙","5","蚕沙-广东确定.pdf","4","1","True"
"汪梅-初审","0052 蝉蜕","2","蝉蜕-广东确定.pdf","1","1","True"
"汪梅-初审","0056 沉香","4","沉香-广东确定.pdf","3","1","True"
"汪梅-初审","0073 川木通（小木通）","4","川木通（小木通）-广东确定.pdf","3","1","True"
"汪梅-初审","0082 淡豆豉","2","淡豆豉-广东确定.pdf","1","1","True"
"汪梅-初审","0091 地耳草","3","地耳草-广东确定.pdf","2","1","True"
"汪梅-初审","0096 地龙（参环毛蚓）","5","地龙（参环毛蚓）-广东确定.pdf","4","1","True"
"汪梅-初审","0099 丁香","2","丁香-广东确定.pdf","1","1","True"
"汪梅-初审","0100 冬瓜皮","4","冬瓜皮-广东确定.pdf","3","1","True"
"汪梅-初审","0102 冬瓜子","5","冬瓜子-广东确定.pdf","4","1","True"
"汪梅-初审","0107 豆蔻（爪哇白豆蔻）","7","豆蔻（爪哇白豆蔻）-广东确定.pdf","6","1","True"
"莫秋怡-初审","0109 阿胶","3","阿胶-广东确定.pdf","2","1","True"
"莫秋怡-初审","0114 凤尾草","2","凤尾草-广东确定.pdf","1","1","True"
"莫秋怡-初审","0122 浮小麦","4","浮小麦-广东确定.pdf","3","1","True"
"莫秋怡-初审","0124 番石榴叶","2","番石榴叶-广东确定.pdf","1","1","True"
"莫秋怡-初审","0128 姜炭","2","姜炭-广东确定.pdf","1","1","True"
"莫秋怡-初审","0134 狗脊","5","狗脊-广东确定.pdf","4","1","True"
"莫秋怡-初审","0143 绵马贯众","4","绵马贯众-广东确定.pdf","3","1","True"
"莫秋怡-初审","0144 醋龟甲","4","醋龟甲-广东确定.pdf","3","1","True"
"莫秋怡-初审","0145 桂枝","2","桂枝-广东确定.pdf","1","1","True"
"莫秋怡-初审","0148 甘松","3","甘松-广东确定.pdf","2","1","True"
"莫秋怡-初审","0154 海藻（羊栖菜）","2","海藻（羊栖菜）-广东确定.pdf","1","1","True"
"莫秋怡-初审","0160 诃子（诃子）","2","诃子（诃子）-广东确定.pdf","1","1","True"
"莫秋怡-初审","0162 黑芝麻","3","黑芝麻-广东确定.pdf","2","1","True"
