"Image Name","PID","Session Name","Session#","Mem Usage","Status","User Name","CPU Time","Window Title"
"System Idle Process","0","Services","0","8 K","Unknown","NT AUTHORITY\SYSTEM","32:19:56","N/A"
"System","4","Services","0","12 K","Unknown","N/A","0:30:43","N/A"
"Registry","120","Services","0","7,952 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"smss.exe","424","Services","0","12 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"csrss.exe","624","Services","0","808 K","Unknown","NT AUTHORITY\SYSTEM","0:00:03","N/A"
"wininit.exe","708","Services","0","16 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"services.exe","784","Services","0","4,492 K","Unknown","NT AUTHORITY\SYSTEM","0:00:15","N/A"
"lsass.exe","840","Services","0","5,808 K","Unknown","NT AUTHORITY\SYSTEM","0:04:00","N/A"
"svchost.exe","1004","Services","0","N/A","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","92","Services","0","8,488 K","Unknown","NT AUTHORITY\SYSTEM","0:00:14","N/A"
"fontdrvhost.exe","444","Services","0","N/A","Unknown","Font Driver Host\UMFD-0","0:00:00","N/A"
"svchost.exe","776","Services","0","7,788 K","Unknown","NT AUTHORITY\NETWORK SERVICE","0:01:36","N/A"
"svchost.exe","1072","Services","0","3,040 K","Unknown","NT AUTHORITY\SYSTEM","0:00:05","N/A"
"svchost.exe","1256","Services","0","2,232 K","Unknown","NT AUTHORITY\NETWORK SERVICE","0:00:12","N/A"
"svchost.exe","1412","Services","0","N/A","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","1448","Services","0","N/A","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"svchost.exe","1456","Services","0","6,164 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:19","N/A"
"svchost.exe","1464","Services","0","1,556 K","Unknown","NT AUTHORITY\SYSTEM","0:00:03","N/A"
"svchost.exe","1472","Services","0","536 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"svchost.exe","1588","Services","0","N/A","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"IntelCpHDCPSvc.exe","1596","Services","0","N/A","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","1604","Services","0","N/A","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","1612","Services","0","N/A","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"svchost.exe","1776","Services","0","1,992 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:01","N/A"
"svchost.exe","1804","Services","0","N/A","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"IntelCpHeciSvc.exe","1856","Services","0","N/A","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","1944","Services","0","3,240 K","Unknown","NT AUTHORITY\SYSTEM","0:00:08","N/A"
"svchost.exe","1952","Services","0","1,316 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:05","N/A"
"igfxCUIService.exe","1988","Services","0","N/A","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","96","Services","0","N/A","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","2168","Services","0","N/A","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"svchost.exe","2176","Services","0","744 K","Unknown","NT AUTHORITY\NETWORK SERVICE","0:00:01","N/A"
"svchost.exe","2280","Services","0","652 K","Unknown","NT AUTHORITY\SYSTEM","0:00:02","N/A"
"svchost.exe","2288","Services","0","1,068 K","Unknown","NT AUTHORITY\SYSTEM","0:00:20","N/A"
"svchost.exe","2384","Services","0","N/A","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","2392","Services","0","1,416 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"svchost.exe","2432","Services","0","N/A","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"Memory Compression","2440","Services","0","201,364 K","Unknown","NT AUTHORITY\SYSTEM","0:35:27","N/A"
"svchost.exe","2520","Services","0","2,692 K","Unknown","NT AUTHORITY\NETWORK SERVICE","0:00:16","N/A"
"svchost.exe","2592","Services","0","488 K","Unknown","NT AUTHORITY\NETWORK SERVICE","0:00:00","N/A"
"svchost.exe","2696","Services","0","N/A","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","2704","Services","0","2,688 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:03","N/A"
"svchost.exe","2924","Services","0","N/A","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:01","N/A"
"svchost.exe","3028","Services","0","N/A","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"svchost.exe","3036","Services","0","N/A","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"ZhuDongFangYu.exe","3044","Services","0","192 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","2944","Services","0","2,088 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:01","N/A"
"svchost.exe","3144","Services","0","188 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","3172","Services","0","N/A","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"spoolsv.exe","3252","Services","0","1,504 K","Unknown","NT AUTHORITY\SYSTEM","0:00:08","N/A"
"svchost.exe","3376","Services","0","2,472 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:05","N/A"
"svchost.exe","3836","Services","0","N/A","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","3844","Services","0","4,084 K","Unknown","NT AUTHORITY\SYSTEM","0:00:10","N/A"
"svchost.exe","3864","Services","0","6,960 K","Unknown","NT AUTHORITY\NETWORK SERVICE","0:00:03","N/A"
"sharesvc.exe","3872","Services","0","1,848 K","Unknown","NT AUTHORITY\SYSTEM","0:00:37","N/A"
"svchost.exe","3880","Services","0","N/A","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","3896","Services","0","5,132 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:14","N/A"
"svchost.exe","3904","Services","0","252 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"svchost.exe","3912","Services","0","880 K","Unknown","NT AUTHORITY\SYSTEM","0:00:13","N/A"
"svchost.exe","3924","Services","0","N/A","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"svchost.exe","3932","Services","0","N/A","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","3944","Services","0","7,324 K","Unknown","NT AUTHORITY\SYSTEM","0:01:05","N/A"
"OneApp.IGCC.WinService.exe","3964","Services","0","2,988 K","Unknown","NT AUTHORITY\SYSTEM","0:00:02","N/A"
"svchost.exe","3972","Services","0","N/A","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"edr_monitor.exe","3984","Services","0","10,188 K","Unknown","NT AUTHORITY\SYSTEM","0:04:29","N/A"
"agent_ovpnconnect.exe","3992","Services","0","N/A","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"ovpnhelper_service.exe","4000","Services","0","N/A","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"eaio_service.exe","4020","Services","0","1,672 K","Unknown","NT AUTHORITY\SYSTEM","0:00:37","N/A"
"RtkAudUService64.exe","4044","Services","0","N/A","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"redis-server.exe","4076","Services","0","900 K","Unknown","NT AUTHORITY\NETWORK SERVICE","0:00:02","N/A"
"WMIRegistrationService.exe","4168","Services","0","N/A","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"jhi_service.exe","4276","Services","0","N/A","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"mysqld.exe","4288","Services","0","N/A","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","4420","Services","0","1,144 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","4688","Services","0","N/A","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","4708","Services","0","N/A","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"svchost.exe","4832","Services","0","N/A","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"dasHost.exe","4840","Services","0","3,240 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:03","N/A"
"svchost.exe","5180","Services","0","836 K","Unknown","NT AUTHORITY\SYSTEM","0:00:13","N/A"
"mysqld.exe","5240","Services","0","1,864 K","Unknown","NT AUTHORITY\SYSTEM","0:00:10","N/A"
